userid,checkin_time,checkout_time,sp_lat,sp_lon,stay_duration,sp_week_day,cluster_label,cluster_lat,cluster_lon
20,2019-07-23 14:13:11,2019-07-24 06:53:32,22.56904,113.894982,0 days 16:40:21,2,0,22.56868187804879,113.8951422764228
20,2019-07-24 07:01:04,2019-07-28 07:04:33,22.568153,113.879037,4 days 00:03:29,6,-1,22.568153,113.879037
20,2019-07-28 08:39:37,2019-07-28 15:01:31,22.665237,114.412595,0 days 06:21:54,6,-1,22.665237,114.412595
20,2019-07-28 15:19:48,2019-07-29 09:39:09,22.634815,114.41323,0 days 18:19:21,0,-1,22.634815,114.41323
20,2019-07-29 09:54:10,2019-07-30 09:41:31,22.568888,113.895065,0 days 23:47:21,1,0,22.56868187804879,113.8951422764228
20,2019-07-30 10:00:39,2019-07-31 14:21:59,22.568987,113.895073,1 days 04:21:20,2,0,22.56868187804879,113.8951422764228
20,2019-07-31 15:15:15,2019-08-02 08:53:23,22.545518,114.080438,1 days 17:38:08,4,-1,22.545518,114.080438
20,2019-08-02 08:59:59,2019-08-02 09:42:57,22.566993,113.856195,0 days 00:42:58,4,11,22.567278555555554,113.85592366666667
20,2019-08-02 09:55:49,2019-08-02 10:16:57,22.587738,113.865048,0 days 00:21:08,4,-1,22.587738,113.865048
20,2019-08-02 10:34:46,2019-08-02 12:36:52,22.567015,113.85618999999998,0 days 02:02:06,4,11,22.567278555555554,113.85592366666667
20,2019-08-02 13:27:00,2019-08-03 16:17:43,22.702508,114.034727,1 days 02:50:43,5,-1,22.702508,114.034727
20,2019-08-03 16:46:45,2019-08-03 17:42:53,22.637367,114.054953,0 days 00:56:08,5,-1,22.637367,114.054953
20,2019-08-03 18:37:46,2019-08-03 19:39:40,22.542367,114.094932,0 days 01:01:54,5,-1,22.542367,114.094932
20,2019-08-03 20:32:46,2019-08-05 08:17:55,22.56704,113.856448,1 days 11:45:09,0,11,22.567278555555554,113.85592366666667
20,2019-08-05 08:36:40,2019-08-08 10:29:58,22.56683,113.895677,3 days 01:53:18,3,0,22.56868187804879,113.8951422764228
20,2019-08-08 10:39:37,2019-08-08 11:37:39,22.569042,113.895103,0 days 00:58:02,3,0,22.56868187804879,113.8951422764228
20,2019-08-08 12:06:06,2019-08-08 15:34:35,22.570757,113.863722,0 days 03:28:29,3,1,22.570867200000006,113.8639100727273
20,2019-08-08 15:41:15,2019-08-08 17:55:55,22.567257,113.855913,0 days 02:14:40,3,11,22.567278555555554,113.85592366666667
20,2019-08-08 18:11:36,2019-08-09 08:25:04,22.571063,113.859377,0 days 14:13:28,4,-1,22.571063,113.859377
20,2019-08-09 08:44:56,2019-08-09 16:43:32,22.568772,113.895188,0 days 07:58:36,4,0,22.56868187804879,113.8951422764228
20,2019-08-09 16:52:55,2019-08-09 17:15:21,22.567337,113.886677,0 days 00:22:26,4,-1,22.567337,113.886677
20,2019-08-09 17:24:16,2019-08-09 19:15:46,22.559683,113.894255,0 days 01:51:30,4,3,22.559742999999997,113.89426175
